Category,Created,Index Updated,Name,Number of Downloads,Number of Views,Tags,URL,View Last Modified,4/30/18 - time created(days),4/30/18 - time rows updated(days)
Development,1518826735,1524929056,Resilient City Fire Recovery Progress,68,261,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Development/Resilient-City-Fire-Recovery-Progress/qstu-bcan,1524950115,72,1
Recreation and Culture,1455168461,1522855391,Rec And Parks Permits Since 2015-10-01,642,214,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Recreation-and-Culture/Rec-And-Parks-Permits-Since-2015-10-01/6gga-8cka,1522855272,809,25
Community,1495219590,1495566682,Homeless Encampment Risk Assessment,477,213,"['homeless', 'homelessness', 'public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Community/Homeless-Encampment-Risk-Assessment/vsiv-m696,1495566609,345,341
Police,1461087815,1524840061,Santa Rosa Use of Force Data,178,206,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Police/Santa-Rosa-Use-of-Force-Data/2fm5-r5es,1524925210,740,2
Fire,1498596184,1524888125,Fire Incidents,125,200,"['fire incidents', 'public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Fire/Fire-Incidents/5n6g-g57f,1524887962,306,2
Government,1490385800,1524914377,Defaulted Tax Data,116,813,"['defaulted tax', 'unpaid tax', 'public', 'data', 'statistics', 'dataset']",https://data.sonomacounty.ca.gov/Government/Defaulted-Tax-Data/bp8v-uax7,1501880069,401,1
Public Safety,1464041584,1524904576,Jail Population Data,79,774,"['public', 'data', 'statistics', 'dataset']",https://data.sonomacounty.ca.gov/Public-Safety/Jail-Population-Data/gemb-q4p5,1464190949,706,1
Transportation,1413306565,1479308003,Commute Survey Data,174,698,"['transportation', 'environment', 'commute', 'survey', 'emissions', 'public', 'data', 'statistics', 'dataset']",https://data.sonomacounty.ca.gov/Transportation/Commute-Survey-Data/94cm-m5qv,1479308421,1293,655
Government,1412181797,1428006156,Sonoma County Facility Locations,169,611,"['sonoma county', 'facilities', 'buildings', 'services', 'locations', 'public', 'data', 'statistics', 'dataset']",https://data.sonomacounty.ca.gov/Government/Sonoma-County-Facility-Locations/re3k-i77p,1428005920,1306,1123
Police,1461105074,1524579957,Santa Rosa Complaints Data,175,141,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Police/Santa-Rosa-Complaints-Data/25u4-esn6,1524925222,740,5
HR Department,1481062178,1490746973,HR Performance Measures Spreadsheet,417,138,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/HR-Department/HR-Performance-Measures-Spreadsheet/hgr5-vibb,1490746668,509,418
Police,1461607242,1524926041,Santa Rosa Pursuits Data,188,138,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Police/Santa-Rosa-Pursuits-Data/jx45-7qn4,1524925233,734,1
Development,1481760885,1492560683,PED Performance Measures,279,136,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Development/PED-Performance-Measures/2ds9-6gpj,1512605564,501,376
Police,1489706064,1521840236,PD_Part_One_Crime,260,126,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Police/PD_Part_One_Crime/yuik-m5i3,1521829263,409,37
HCS Department,1479420033,1524003568,Housing & Community Services Performance Measures,247,124,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/HCS-Department/Housing-Community-Services-Performance-Measures/9zdh-w588,1524002411,528,12
Recreation and Culture,1486159426,1522949078,RP Performance Measures,469,120,"['public', 'data', 'statistics', 'dataset']",https://data.srcity.org/Recreation-and-Culture/RP-Performance-Measures/6xsk-q8zy,1522948408,450,24
